Change from previous experiment: Decrease learning rate to 0.0001 (0.1 of original), increase max-iter to 50
Result: Doesn't converge.

################################################################################

Starting compiling...
Ending compiling...
Compiling time: 43.64
Starting training...
cost at epoch 7, iteration 40: 3.376015
cost at epoch 7, iteration 60: 3.334268
cost at epoch 7, iteration 80: 3.336745
cost at epoch 7, iteration 100: 3.322463
cost at epoch 7, iteration 120: 3.346934
cost at epoch 7, iteration 140: 3.353502
cost at epoch 7, iteration 160: 3.337916
cost at epoch 7, iteration 180: 3.297544
cost at epoch 7, iteration 200: 3.396474
cost at epoch 7, iteration 220: 3.321843
cost at epoch 7, iteration 240: 3.377529
cost at epoch 7, iteration 260: 3.335394
cost at epoch 7, iteration 280: 3.330766
cost at epoch 7, iteration 300: 3.348642
cost at epoch 7, iteration 320: 3.386677
cost at epoch 7, iteration 340: 3.334564
cost at epoch 7, iteration 360: 3.379547
cost at epoch 7, iteration 380: 3.358356
Average cost in epoch 7: 3.346411
cost at epoch 8, iteration 0: 3.337971
cost at epoch 8, iteration 20: 3.349800
cost at epoch 8, iteration 40: 3.309987
cost at epoch 8, iteration 60: 3.325127
cost at epoch 8, iteration 80: 3.278231
cost at epoch 8, iteration 100: 3.349968
cost at epoch 8, iteration 120: 3.364038
cost at epoch 8, iteration 140: 3.318336
cost at epoch 8, iteration 160: 3.398468
cost at epoch 8, iteration 180: 3.292674
cost at epoch 8, iteration 200: 3.351445
cost at epoch 8, iteration 220: 3.354437
cost at epoch 8, iteration 240: 3.372203
cost at epoch 8, iteration 260: 3.311133
cost at epoch 8, iteration 280: 3.371220
cost at epoch 8, iteration 300: 3.337557
cost at epoch 8, iteration 320: 3.359507
cost at epoch 8, iteration 340: 3.351598
cost at epoch 8, iteration 360: 3.345314
cost at epoch 8, iteration 380: 3.380941
Average cost in epoch 8: 3.348981
cost at epoch 9, iteration 0: 3.384906
cost at epoch 9, iteration 20: 3.359649
cost at epoch 9, iteration 40: 3.372324
cost at epoch 9, iteration 60: 3.306849
cost at epoch 9, iteration 80: 3.346013
cost at epoch 9, iteration 100: 3.367594
cost at epoch 9, iteration 120: 3.359813
cost at epoch 9, iteration 140: 3.347389
cost at epoch 9, iteration 160: 3.319799
cost at epoch 9, iteration 180: 3.332072
cost at epoch 9, iteration 200: 3.330928
cost at epoch 9, iteration 220: 3.358353
cost at epoch 9, iteration 240: 3.380687
cost at epoch 9, iteration 260: 3.365035
cost at epoch 9, iteration 280: 3.363274
cost at epoch 9, iteration 300: 3.337410
cost at epoch 9, iteration 320: 3.335560
cost at epoch 9, iteration 340: 3.303186
cost at epoch 9, iteration 360: 3.349841
cost at epoch 9, iteration 380: 3.354701
Average cost in epoch 9: 3.344379
Starting compiling...
Ending compiling...
Compiling time: 35.09
Starting training...
cost at epoch 0, iteration 0: 3.412158
cost at epoch 0, iteration 20: 3.401772
Average cost in epoch 0: 3.373856
cost at epoch 1, iteration 0: 3.379609
cost at epoch 1, iteration 20: 3.397752
Average cost in epoch 1: 3.369459
cost at epoch 2, iteration 0: 3.370448
cost at epoch 2, iteration 20: 3.426459
Average cost in epoch 2: 3.373240
cost at epoch 3, iteration 0: 3.373664
cost at epoch 3, iteration 20: 3.369744
Average cost in epoch 3: 3.369601
cost at epoch 4, iteration 0: 3.400535
cost at epoch 4, iteration 20: 3.383116
Average cost in epoch 4: 3.375559
cost at epoch 5, iteration 0: 3.362542
cost at epoch 5, iteration 20: 3.383508
Average cost in epoch 5: 3.367588
cost at epoch 6, iteration 0: 3.370330
cost at epoch 6, iteration 20: 3.388859
Average cost in epoch 6: 3.372285
cost at epoch 7, iteration 0: 3.348892
cost at epoch 7, iteration 20: 3.305063
Average cost in epoch 7: 3.366685
cost at epoch 8, iteration 0: 3.359266
cost at epoch 8, iteration 20: 3.383596
Average cost in epoch 8: 3.373742
cost at epoch 9, iteration 0: 3.362859
cost at epoch 9, iteration 20: 3.377370
Average cost in epoch 9: 3.376324
cost at epoch 10, iteration 0: 3.377421
cost at epoch 10, iteration 20: 3.380558
